url,scope,market,type,status,title
https://www.gambling.com/ca/online-casinos/slots/adventures-in-wonderland,EN,ca,Slots page,200,Adventures in Wonderland Online Slot
https://www.gambling.com/ca/online-casinos/slots/adventures-of-doubloon-island,EN,ca,Slots page,200,Adventures of Doubloon Island Slot | gambling.com
https://www.gambling.com/ca/online-casinos/slots/africa-x-up,EN,ca,Slots page,200,Africa X UP Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/african-legends,EN,ca,Slots page,200,African Legends Slot – Play & get Canada Bonuses | gambling.com
https://www.gambling.com/ca/online-casinos/slots/african-simba,EN,ca,Slots page,200,African Simba Online Slot
https://www.gambling.com/ca/online-casinos/slots/after-night-falls,EN,ca,Slots page,200,After Night Falls Online Slot
https://www.gambling.com/ca/online-casinos/slots/age-of-akkadia,EN,ca,Slots page,200,Age of Akkadia Slot Review & Bonus | Gambling.com
https://www.gambling.com/ca/online-casinos/slots/age-of-beasts-infinity-reels,EN,ca,Slots page,200,Age of Beasts Infinity Reels Slot | gambling.com
https://www.gambling.com/ca/online-casinos/slots/age-of-conquest-diamonds-dragons,EN,ca,Slots page,200,Age of Conquest Diamonds & Dragons Slot | gambling.com
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods,EN,ca,Slots page,200,"Age of the Gods Online Slot | Review, Free Play Demo & Bonus"
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-fate-sisters,EN,ca,Slots page,200,Age of the Gods: Fate Sisters Online Slot
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-furious-4,EN,ca,Slots page,200,Age of the Gods: Furious 4 Online Slot
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-glorious-griffin,EN,ca,Slots page,200,"Age of the Gods: Glorious Griffin Slot Preview, Bonus, RTP | Gambling.com"
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-god-of-storms,EN,ca,Slots page,200,"Age of the Gods: God of Storms Slot | Review, Free Play Demo"
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-goddess-of-wisdom,EN,ca,Slots page,200,Age of the Gods: Goddess of Wisdom Online Slot
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-king-of-olympus,EN,ca,Slots page,200,Age of the Gods: King of Olympus Online Slot
https://www.gambling.com/ca/online-casinos/slots/age-of-the-gods-norse-gods-and-giants,EN,ca,Slots page,200,"Age of the Gods Norse: Gods and Giants Slot Preview, Bonus, RTP | Gambling.com"
https://www.gambling.com/ca/online-casinos/slots/agent-destiny,EN,ca,Slots page,200,"Agent Destiny Slot Review, Bonus, RTP | Gambling.com"
https://www.gambling.com/ca/online-casinos/slots/agent-jane-blonde-max-volume,EN,ca,Slots page,200,Agent Jane Blonde Max Volume Slot | gambling.com
https://www.gambling.com/ca/online-casinos/slots/agent-of-hearts,EN,ca,Slots page,200,Agent of Hearts Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/alchemy-fortunes,EN,ca,Slots page,200,Alchemy Fortunes Slot – Play & Bonuses | gambling.com
https://www.gambling.com/ca/online-casinos/slots/alice-cooper-and-the-tome-of-madness,EN,ca,Slots page,200,Alice Cooper: Tome of Madness Slot Review & Bonus | Gambling.com
https://www.gambling.com/ca/online-casinos/slots/alice-in-wildland,EN,ca,Slots page,200,Alice in WildLand Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/alkemors-tower,EN,ca,Slots page,200,Alkemor's Tower Online Slot
https://www.gambling.com/ca/online-casinos/slots/all-star-knockout-ultra-gamble,EN,ca,Slots page,200,"All Star Knockout Ultra Gamble Slot Review, Bonus, RTP | Gambling.com"
https://www.gambling.com/ca/online-casinos/slots/all-that-cash-power-bet,EN,ca,Slots page,200,All That Cash Power Bet Slot Review & Bonus - Gambling.com
https://www.gambling.com/ca/online-casinos/slots/all-ways-fruits,EN,ca,Slots page,200,All Ways Fruits Slot Review & Bonus - Gambling.com
https://www.gambling.com/ca/online-casinos/slots/all-ways-joker,EN,ca,Slots page,200,All Ways Joker Slot Review & Bonus - Gambling.com
https://www.gambling.com/ca/online-casinos/slots/all-ways-win,EN,ca,Slots page,200,All Ways Win Slot Review & Bonus - Gambling.com
https://www.gambling.com/ca/online-casinos/slots/almighty-reels-realm-of-poseidon,EN,ca,Slots page,200,Almighty Reels: Realm of Poseidon Online Slot
https://www.gambling.com/ca/online-casinos/slots/aloha-christmas,EN,ca,Slots page,200,Aloha Christmas Edition Slot Review & CA Bonus by NetEnt
https://www.gambling.com/ca/online-casinos/slots/aloha-cluster-pays,EN,ca,Slots page,200,Aloha! Cluster Pays Slot Sites
https://www.gambling.com/ca/online-casinos/slots/alpha-gods-zeus,EN,ca,Slots page,200,Alpha Gods: Zeus Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/always-hot,EN,ca,Slots page,200,Always Hot Online Slot
https://www.gambling.com/ca/online-casinos/slots/amazing-catch-power-combo,EN,ca,Slots page,200,Amazing Catch Power Combo Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-legends,EN,ca,Slots page,200,Amazing Legends Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-legends-perseus,EN,ca,Slots page,200,Amazing Legends Perseus Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-apollo,EN,ca,Slots page,200,Amazing Link Apollo Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-athena,EN,ca,Slots page,200,Amazing Link Athena Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-catalleros,EN,ca,Slots page,200,Amazing Link Catalleros Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-fates,EN,ca,Slots page,200,Amazing Link Fates Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-frenzy,EN,ca,Slots page,200,Amazing Link Frenzy Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-hades,EN,ca,Slots page,200,Amazing Link Hades Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-medusa,EN,ca,Slots page,200,Amazing Link Medusa Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-poseidon,EN,ca,Slots page,200,Amazing Link Poseidon Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-riches,EN,ca,Slots page,200,Amazing Link Riches Slot Review & Bonus | Gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-link-zeus,EN,ca,Slots page,200,Amazing Link: Zeus Slot – Play & Bonus | gambling.com
https://www.gambling.com/ca/online-casinos/slots/amazing-stars,EN,ca,Slots page,200,Amazing Stars Online Slot
https://www.gambling.com/ca/online-casinos/slots/amazon-idols-million-maker,EN,ca,Slots page,200,Amazon Idols Million Maker Online Slot
https://www.gambling.com/ca/online-casinos/slots/amazon-s-diamonds,EN,ca,Slots page,200,Amazon's Diamonds Online Slot
https://www.gambling.com/ca/online-casinos/slots/amber-sterling-s-mystic-shrine,EN,ca,Slots page,200,Amber Sterling’s Mystic Shrine Slot | gambling.com
